language,expert_id,count
eng_Latn,60,1327
eng_Latn,13,334
eng_Latn,12,735
eng_Latn,47,526
eng_Latn,19,1319
eng_Latn,5,736
eng_Latn,40,895
eng_Latn,27,402
eng_Latn,26,348
eng_Latn,49,1362
eng_Latn,55,142
eng_Latn,63,1134
eng_Latn,22,874
eng_Latn,61,417
eng_Latn,57,1075
eng_Latn,18,702
eng_Latn,20,538
eng_Latn,46,750
eng_Latn,45,203
eng_Latn,3,774
eng_Latn,42,606
eng_Latn,35,796
eng_Latn,56,706
eng_Latn,54,408
eng_Latn,8,694
eng_Latn,51,309
eng_Latn,17,360
eng_Latn,16,674
eng_Latn,52,787
eng_Latn,29,160
eng_Latn,24,469
eng_Latn,37,1004
eng_Latn,15,642
eng_Latn,31,262
eng_Latn,39,191
eng_Latn,32,88
eng_Latn,11,371
eng_Latn,50,181
eng_Latn,23,241
eng_Latn,14,720
eng_Latn,48,671
eng_Latn,41,144
eng_Latn,1,421
eng_Latn,38,219
eng_Latn,21,449
eng_Latn,30,535
eng_Latn,62,377
eng_Latn,44,105
eng_Latn,9,609
eng_Latn,59,273
eng_Latn,53,465
eng_Latn,2,144
eng_Latn,7,91
eng_Latn,34,288
eng_Latn,25,176
eng_Latn,43,196
eng_Latn,10,95
eng_Latn,28,138
eng_Latn,0,102
eng_Latn,33,1552
eng_Latn,4,143
eng_Latn,6,27
eng_Latn,58,75
eng_Latn,36,19
bul_Cyrl,60,1052
bul_Cyrl,13,74343
bul_Cyrl,9,525
bul_Cyrl,52,1292
bul_Cyrl,47,1208
bul_Cyrl,27,501
bul_Cyrl,19,1141
bul_Cyrl,26,516
bul_Cyrl,12,651
bul_Cyrl,1,713
bul_Cyrl,39,303
bul_Cyrl,11,65
bul_Cyrl,22,146
bul_Cyrl,42,46
bul_Cyrl,40,213
bul_Cyrl,61,487
bul_Cyrl,5,40
bul_Cyrl,49,44
bul_Cyrl,59,4
bul_Cyrl,7,67
bul_Cyrl,8,59
bul_Cyrl,33,11
bul_Cyrl,58,59
bul_Cyrl,57,36
bul_Cyrl,37,36
bul_Cyrl,53,4
bul_Cyrl,24,94
bul_Cyrl,56,4
bul_Cyrl,34,21
bul_Cyrl,63,16
bul_Cyrl,29,24
bul_Cyrl,48,3
bul_Cyrl,36,124
bul_Cyrl,62,71
bul_Cyrl,18,3
bul_Cyrl,46,21
bul_Cyrl,25,18
bul_Cyrl,15,1
bul_Cyrl,10,3
bul_Cyrl,28,17
bul_Cyrl,30,6
bul_Cyrl,3,5
bul_Cyrl,17,7
bul_Cyrl,4,44
bul_Cyrl,6,9
