lang,sentence_id,token_idx,expert_id
eng_Latn,0,0,60
eng_Latn,0,1,30
eng_Latn,0,2,48
eng_Latn,0,3,48
eng_Latn,0,4,30
eng_Latn,0,5,19
eng_Latn,0,6,63
eng_Latn,1,0,60
eng_Latn,1,1,52
eng_Latn,1,2,57
eng_Latn,1,3,37
eng_Latn,1,4,39
eng_Latn,1,5,3
eng_Latn,1,6,22
eng_Latn,1,7,3
spa_Latn,2,0,60
spa_Latn,2,1,26
spa_Latn,2,2,19
spa_Latn,2,3,8
spa_Latn,2,4,8
spa_Latn,2,5,8
spa_Latn,2,6,19
spa_Latn,2,7,8
spa_Latn,2,8,8
eng_Latn,3,0,60
eng_Latn,3,1,40
eng_Latn,3,2,49
eng_Latn,4,0,60
eng_Latn,4,1,37
eng_Latn,4,2,34
eng_Latn,4,3,42
eng_Latn,4,4,22
eng_Latn,4,5,19
eng_Latn,4,6,63
eng_Latn,4,7,5
eng_Latn,4,8,47
eng_Latn,5,0,60
eng_Latn,5,1,26
eng_Latn,5,2,30
eng_Latn,5,3,46
eng_Latn,5,4,15
spa_Latn,6,0,60
spa_Latn,6,1,7
spa_Latn,6,2,40
spa_Latn,6,3,7
spa_Latn,6,4,8
spa_Latn,6,5,9
spa_Latn,6,6,19
spa_Latn,6,7,39
spa_Latn,6,8,8
spa_Latn,6,9,61
spa_Latn,6,10,8
spa_Latn,6,11,8
spa_Latn,6,12,9
spa_Latn,6,13,12
spa_Latn,6,14,52
eng_Latn,7,0,60
eng_Latn,7,1,38
eng_Latn,7,2,15
eng_Latn,7,3,20
eng_Latn,7,4,38
eng_Latn,7,5,56
eng_Latn,7,6,61
eng_Latn,7,7,19
eng_Latn,7,8,51
spa_Latn,8,0,60
spa_Latn,8,1,19
spa_Latn,8,2,19
spa_Latn,8,3,8
spa_Latn,9,0,60
spa_Latn,9,1,47
spa_Latn,9,2,47
spa_Latn,9,3,52
spa_Latn,9,4,8
spa_Latn,9,5,8
spa_Latn,9,6,53
spa_Latn,9,7,19
spa_Latn,9,8,47
spa_Latn,9,9,8
spa_Latn,9,10,8
spa_Latn,9,11,7
spa_Latn,9,12,8
eng_Latn,10,0,60
eng_Latn,10,1,29
eng_Latn,10,2,18
eng_Latn,10,3,5
eng_Latn,10,4,18
eng_Latn,10,5,18
eng_Latn,10,6,16
eng_Latn,10,7,18
eng_Latn,10,8,56
eng_Latn,10,9,57
eng_Latn,11,0,60
eng_Latn,11,1,16
eng_Latn,11,2,54
eng_Latn,11,3,46
eng_Latn,11,4,5
eng_Latn,11,5,18
eng_Latn,11,6,56
eng_Latn,11,7,46
eng_Latn,11,8,5
eng_Latn,11,9,16
eng_Latn,11,10,56
eng_Latn,11,11,1
eng_Latn,12,0,60
eng_Latn,12,1,22
eng_Latn,12,2,52
eng_Latn,12,3,13
eng_Latn,12,4,52
eng_Latn,12,5,52
spa_Latn,13,0,60
spa_Latn,13,1,8
spa_Latn,13,2,8
spa_Latn,13,3,39
spa_Latn,13,4,8
spa_Latn,13,5,8
spa_Latn,13,6,61
spa_Latn,13,7,39
spa_Latn,13,8,28
spa_Latn,13,9,52
spa_Latn,14,0,60
spa_Latn,14,1,15
spa_Latn,14,2,8
spa_Latn,14,3,19
spa_Latn,14,4,19
spa_Latn,14,5,39
spa_Latn,14,6,16
spa_Latn,14,7,8
spa_Latn,14,8,56
spa_Latn,14,9,8
spa_Latn,14,10,10
spa_Latn,14,11,8
spa_Latn,14,12,8
spa_Latn,15,0,60
spa_Latn,15,1,19
spa_Latn,15,2,8
spa_Latn,15,3,19
spa_Latn,15,4,15
spa_Latn,15,5,8
spa_Latn,15,6,19
spa_Latn,15,7,8
eng_Latn,16,0,60
eng_Latn,16,1,47
